split_id,protocol,seed,fold,model_id,mcc,f1,balanced_accuracy,youden_j
lopo__seed-42__fold-12,lopo,42,12,xgb_all_unweighted,0.7847476005554199,0.05690961703658104,0.8461604714393616,0.8461604714393616
lopo__seed-42__fold-13,lopo,42,13,xgb_all_unweighted,0.9210880994796753,0.2734898328781128,0.9210880994796753,0.9210880994796753
lopo__seed-42__fold-14,lopo,42,14,xgb_all_unweighted,0.9007790088653564,0.015412739478051662,0.9598758220672607,0.9598758220672607
lopo__seed-42__fold-15,lopo,42,15,xgb_all_unweighted,0.8379772305488586,0.13164813816547394,0.9049525856971741,0.9049525856971741
lopo__seed-42__fold-16,lopo,42,16,xgb_all_unweighted,0.906694233417511,0.02635474130511284,0.9132212996482849,0.9132212996482849
lopo__seed-42__fold-17,lopo,42,17,xgb_all_unweighted,0.9576814770698547,0.013813956640660763,0.9576814770698547,0.9576814770698547
lopo__seed-42__fold-18,lopo,42,18,xgb_all_unweighted,0.7714322209358215,0.2847084105014801,0.9057214260101318,0.9057214260101318
lopo__seed-42__fold-19,lopo,42,19,xgb_all_unweighted,0.90576171875,0.0019314546370878816,0.9272280335426331,0.9272280335426331
lopo__seed-42__fold-20,lopo,42,20,xgb_all_unweighted,0.681343138217926,0.08818870037794113,0.8618749380111694,0.8618749380111694
lopo__seed-42__fold-21,lopo,42,21,xgb_all_unweighted,0.8787964582443237,0.02529972605407238,0.9266968369483948,0.9266968369483948
lopo__seed-42__fold-22,lopo,42,22,xgb_all_unweighted,0.8255862593650818,0.054696496576070786,0.8689917922019958,0.8689917922019958
lopo__seed-42__fold-23,lopo,42,23,xgb_all_unweighted,0.9627792239189148,0.002371198032051325,0.9627792239189148,0.9627792239189148
lopo__seed-42__fold-24,lopo,42,24,xgb_all_unweighted,0.8096324801445007,0.01609620451927185,0.966895341873169,0.966895341873169
lopo__seed-42__fold-25,lopo,42,25,xgb_all_unweighted,0.7897821068763733,0.15945905447006226,0.9042291641235352,0.9042291641235352
lopo__seed-42__fold-26,lopo,42,26,xgb_all_unweighted,0.8613038659095764,0.009125874377787113,0.9613977670669556,0.9613977670669556
lopo__seed-42__fold-27,lopo,42,27,xgb_all_unweighted,0.7444058060646057,0.1293354034423828,0.8513514995574951,0.8513514995574951
lopo__seed-42__fold-28,lopo,42,28,xgb_all_unweighted,0.7727129459381104,0.300620973110199,0.7925687432289124,0.7925687432289124
lopo__seed-42__fold-29,lopo,42,29,xgb_all_unweighted,0.6010322570800781,0.03648575395345688,0.8020049333572388,0.8020049333572388
lopo__seed-42__fold-30,lopo,42,30,xgb_all_unweighted,0.8776862025260925,0.04699382185935974,0.9011685848236084,0.9011685848236084
lopo__seed-42__fold-31,lopo,42,31,xgb_all_unweighted,0.7478315830230713,0.08199532330036163,0.8221554160118103,0.8221554160118103
lopo__seed-42__fold-32,lopo,42,32,xgb_all_unweighted,0.909662663936615,0.014187184162437916,0.9523952603340149,0.9523952603340149
lopo__seed-42__fold-33,lopo,42,33,xgb_all_unweighted,0.841986358165741,0.11320509761571884,0.9046128392219543,0.9046128392219543
lopo__seed-42__fold-34,lopo,42,34,xgb_all_unweighted,0.7096326947212219,0.32118168473243713,0.857632040977478,0.857632040977478
lopo__seed-42__fold-35,lopo,42,35,xgb_all_unweighted,0.6787054538726807,0.37899449467658997,0.8499530553817749,0.8499530553817749
lopo__seed-42__fold-36,lopo,42,36,xgb_all_unweighted,0.9217853546142578,0.04537038132548332,0.9217853546142578,0.9217853546142578
lopo__seed-42__fold-37,lopo,42,37,xgb_all_unweighted,0.9067964553833008,0.0008336444734595716,0.9269639849662781,0.9269639849662781
