split_id,protocol,seed,fold,model_id,model_family,feature_set,n_test_rows,n_test_papers,roc_auc,pr_auc,brier,mcc_at_mcc,f1_at_mcc,balanced_accuracy_at_mcc,sensitivity_at_mcc,specificity_at_mcc,precision_at_mcc,mcc_at_f1,f1_at_f1,balanced_accuracy_at_f1,sensitivity_at_f1,specificity_at_f1,precision_at_f1,mcc_at_balanced_accuracy,f1_at_balanced_accuracy,balanced_accuracy_at_balanced_accuracy,sensitivity_at_balanced_accuracy,specificity_at_balanced_accuracy,precision_at_balanced_accuracy,mcc_at_youden_j,f1_at_youden_j,balanced_accuracy_at_youden_j,sensitivity_at_youden_j,specificity_at_youden_j,precision_at_youden_j
extrapolation_grouped__seed-42__fold-4,extrapolation_grouped,42,4,mlp_all,mlp,all,896,19,0.6695060934704831,0.8341033232806347,0.21342456340789795,0.25439284397078693,0.8455056179775281,0.6153846153846154,0.875,0.3557692307692308,0.8179347826086957,0.0,0.8686868686868687,0.5,1.0,0.0,0.7678571428571429,0.25439284397078693,0.8455056179775281,0.6153846153846154,0.875,0.3557692307692308,0.8179347826086957,0.25439284397078693,0.8455056179775281,0.6153846153846154,0.875,0.3557692307692308,0.8179347826086957
interpolation_holdout__seed-43__fold-0,interpolation_holdout,43,0,mlp_all,mlp,all,900,83,0.8695279856589742,0.9565886218351125,0.1622677892446518,0.5320773815838593,0.8,0.8085319774222139,0.6804123711340206,0.9366515837104072,0.9705882352941176,0.4600685852016387,0.8762589928057554,0.7176843774781919,0.8969072164948454,0.5384615384615384,0.8565400843881856,0.5320773815838593,0.8,0.8085319774222139,0.6804123711340206,0.9366515837104072,0.9705882352941176,0.5320773815838593,0.8,0.8085319774222139,0.6804123711340206,0.9366515837104072,0.9705882352941176
interpolation_stratified__seed-43__fold-0,interpolation_stratified,43,0,mlp_all,mlp,all,900,82,0.8840022924316436,0.9607458583218137,0.1432906538248062,0.5377916371800865,0.8208578637510513,0.809578232561859,0.7187039764359352,0.9004524886877828,0.9568627450980393,0.4705457862892215,0.8902691511387164,0.6921577512844947,0.9499263622974963,0.4343891402714932,0.8376623376623377,0.5377916371800865,0.8208578637510513,0.809578232561859,0.7187039764359352,0.9004524886877828,0.9568627450980393,0.5377916371800865,0.8208578637510513,0.809578232561859,0.7187039764359352,0.9004524886877828,0.9568627450980393
interpolation_stratified__seed-43__fold-1,interpolation_stratified,43,1,mlp_all,mlp,all,900,80,0.8434748998727167,0.9470628591644016,0.17571425437927246,0.49406079224186417,0.8242027800490597,0.7806362830619956,0.7422680412371134,0.8190045248868778,0.9264705882352942,0.3648774002277308,0.8678720445062587,0.6540693993695813,0.9189985272459499,0.3891402714932127,0.8221343873517787,0.5103620744371566,0.8054375531011045,0.7947440673335155,0.6980854197349042,0.8914027149321267,0.9518072289156626,0.5103620744371566,0.8054375531011045,0.7947440673335155,0.6980854197349042,0.8914027149321267,0.9518072289156626
interpolation_stratified__seed-43__fold-2,interpolation_stratified,43,2,mlp_all,mlp,all,900,83,0.8523813966506508,0.9528503660072168,0.14949290454387665,0.48265975405900846,0.8151815181518152,0.7755349562505414,0.727540500736377,0.8235294117647058,0.926829268292683,0.217459932884806,0.8672680412371134,0.5430930500669737,0.9911634756995582,0.09502262443438914,0.7709049255441008,0.5322809074125325,0.8024158757549612,0.8084786650584104,0.6848306332842415,0.9321266968325792,0.96875,0.5322809074125325,0.8024158757549612,0.8084786650584104,0.6848306332842415,0.9321266968325792,0.96875
interpolation_stratified__seed-43__fold-3,interpolation_stratified,43,3,mlp_all,mlp,all,900,81,0.8549803743860748,0.9523184360485348,0.1561199575662613,0.49620252170666396,0.8169014084507042,0.7838483529811607,0.7260677466863034,0.8416289592760181,0.9337121212121212,0.2862081061648524,0.8635135135135135,0.6040290818944548,0.9410898379970545,0.2669683257918552,0.797752808988764,0.4968773441349682,0.773851590106007,0.7885964853824163,0.6450662739322534,0.9321266968325792,0.9668874172185431,0.4968773441349682,0.773851590106007,0.7885964853824163,0.6450662739322534,0.9321266968325792,0.9668874172185431
interpolation_stratified__seed-43__fold-4,interpolation_stratified,43,4,mlp_all,mlp,all,899,82,0.8586973931846394,0.9480137024953883,0.15812450647354126,0.5224488652681173,0.7898423817863398,0.8031841055006073,0.6651917404129793,0.9411764705882353,0.9719827586206896,0.28300103033306473,0.8699669966996699,0.5832732684632737,0.971976401179941,0.19457013574660634,0.7873357228195937,0.5224488652681173,0.7898423817863398,0.8031841055006073,0.6651917404129793,0.9411764705882353,0.9719827586206896,0.5224488652681173,0.7898423817863398,0.8031841055006073,0.6651917404129793,0.9411764705882353,0.9719827586206896
extrapolation_grouped__seed-43__fold-0,extrapolation_grouped,43,0,mlp_all,mlp,all,884,15,0.7025219298245614,0.8967191674637279,0.26818785071372986,0.18620212281365978,0.7559808612440191,0.6064912280701755,0.6929824561403509,0.52,0.8315789473684211,0.14109694984863375,0.8552188552188552,0.5491812865497075,0.9283625730994152,0.17,0.7927590511860175,0.27490347252688996,0.7366638441998307,0.6629824561403508,0.6359649122807017,0.69,0.8752515090543259,0.27490347252688996,0.7366638441998307,0.6629824561403508,0.6359649122807017,0.69,0.8752515090543259
extrapolation_grouped__seed-43__fold-1,extrapolation_grouped,43,1,mlp_all,mlp,all,894,21,0.5039185555128698,0.7576167227473783,0.2579900026321411,0.04887836833726978,0.7957295373665481,0.5228617329654595,0.8160583941605839,0.22966507177033493,0.7763888888888889,0.07717452781402499,0.8637532133676092,0.5144343938811861,0.981021897810219,0.04784688995215311,0.7715269804822044,0.04887836833726978,0.7957295373665481,0.5228617329654595,0.8160583941605839,0.22966507177033493,0.7763888888888889,0.04887836833726978,0.7957295373665481,0.5228617329654595,0.8160583941605839,0.22966507177033493,0.7763888888888889
extrapolation_grouped__seed-43__fold-2,extrapolation_grouped,43,2,mlp_all,mlp,all,843,18,0.7474649211630262,0.8926873204827275,0.19199608266353607,0.25966057477813187,0.8409260642270351,0.6042564733111528,0.9080645161290323,0.3004484304932735,0.7830319888734353,0.0,0.8475734791524265,0.5,1.0,0.0,0.7354685646500593,0.25966057477813187,0.8409260642270351,0.6042564733111528,0.9080645161290323,0.3004484304932735,0.7830319888734353,0.25966057477813187,0.8409260642270351,0.6042564733111528,0.9080645161290323,0.3004484304932735,0.7830319888734353
