model_id,protocol,metric,estimate,ci_low,ci_high,confidence_level,iterations,resampling_unit,repeat_aggregation
xgb_all_class_paper_weighted,interpolation_stratified,roc_auc,0.9174390793441713,0.9088050321845292,0.9250476996497295,0.95,2000,unique_row_id,mean probability per row_id before resampling
xgb_all_class_paper_weighted,interpolation_stratified,pr_auc,0.9730591182785845,0.9696753066307902,0.976255926999821,0.95,2000,unique_row_id,mean probability per row_id before resampling
xgb_all_class_paper_weighted,interpolation_stratified,brier,0.10852481784971395,0.10226983223578696,0.11487109926213449,0.95,2000,unique_row_id,mean probability per row_id before resampling
xgb_all_class_paper_weighted,lopo,roc_auc,0.6797487981185856,0.6042541901496439,0.755000286983311,0.95,2000,canonical_paper,mean probability per row_id before resampling
xgb_all_class_paper_weighted,lopo,pr_auc,0.8468935190780122,0.7875462116459141,0.9134921317236542,0.95,2000,canonical_paper,mean probability per row_id before resampling
xgb_all_class_paper_weighted,lopo,brier,0.1923351269361761,0.149619942554107,0.22444051493544684,0.95,2000,canonical_paper,mean probability per row_id before resampling
xgb_all_focal_class_paper_weighted,extrapolation_grouped,roc_auc,0.4867022453784559,0.43492853084362354,0.5264670249747464,0.95,2000,canonical_paper,mean probability per row_id before resampling
xgb_all_focal_class_paper_weighted,extrapolation_grouped,pr_auc,0.7409011106854686,0.685594788200033,0.8144380695091729,0.95,2000,canonical_paper,mean probability per row_id before resampling
xgb_all_focal_class_paper_weighted,extrapolation_grouped,brier,0.7157767950172239,0.6486620724329034,0.8065777847395994,0.95,2000,canonical_paper,mean probability per row_id before resampling
xgb_all_focal_class_paper_weighted,interpolation_holdout,roc_auc,0.4750742204067055,0.46328321003950523,0.48583182654099594,0.95,2000,unique_row_id,mean probability per row_id before resampling
xgb_all_focal_class_paper_weighted,interpolation_holdout,pr_auc,0.7441822882975003,0.726039590600521,0.7625333276244859,0.95,2000,unique_row_id,mean probability per row_id before resampling
xgb_all_focal_class_paper_weighted,interpolation_holdout,brier,0.7497919933858875,0.7322273899058758,0.7673687154057397,0.95,2000,unique_row_id,mean probability per row_id before resampling
xgb_all_focal_class_paper_weighted,interpolation_stratified,roc_auc,0.47628620642763253,0.4679511059047374,0.4841284365288156,0.95,2000,unique_row_id,mean probability per row_id before resampling
xgb_all_focal_class_paper_weighted,interpolation_stratified,pr_auc,0.748209960844888,0.7356675747408147,0.761430075644843,0.95,2000,unique_row_id,mean probability per row_id before resampling
xgb_all_focal_class_paper_weighted,interpolation_stratified,brier,0.7486148642241918,0.7361565242106217,0.7614993409605713,0.95,2000,unique_row_id,mean probability per row_id before resampling
xgb_all_focal_class_paper_weighted,lopo,roc_auc,0.4906657209821965,0.46463253375918084,0.50352350513907,0.95,2000,canonical_paper,mean probability per row_id before resampling
xgb_all_focal_class_paper_weighted,lopo,pr_auc,0.7511874979116355,0.6884527507038661,0.8271608841981721,0.95,2000,canonical_paper,mean probability per row_id before resampling
xgb_all_focal_class_paper_weighted,lopo,brier,0.7479539486860765,0.6863955975159007,0.8252204795594814,0.95,2000,canonical_paper,mean probability per row_id before resampling
xgb_all_unweighted,extrapolation_grouped,roc_auc,0.7029153123558476,0.6368219584377226,0.7766291155846122,0.95,2000,canonical_paper,mean probability per row_id before resampling
xgb_all_unweighted,extrapolation_grouped,pr_auc,0.8647918035402361,0.8005171853604287,0.9261247843205608,0.95,2000,canonical_paper,mean probability per row_id before resampling
xgb_all_unweighted,extrapolation_grouped,brier,0.17925531405542003,0.13123819232078238,0.21700204025197442,0.95,2000,canonical_paper,mean probability per row_id before resampling
xgb_all_unweighted,interpolation_holdout,roc_auc,0.9138831223911248,0.9027754831107875,0.9254324869752373,0.95,2000,unique_row_id,mean probability per row_id before resampling
xgb_all_unweighted,interpolation_holdout,pr_auc,0.9719040162158971,0.9668913731227755,0.9764136963376766,0.95,2000,unique_row_id,mean probability per row_id before resampling
xgb_all_unweighted,interpolation_holdout,brier,0.10421259663245049,0.09625505558670755,0.11224532731386007,0.95,2000,unique_row_id,mean probability per row_id before resampling
xgb_all_unweighted,interpolation_stratified,roc_auc,0.9177183851193349,0.9093910415844443,0.9253648831601431,0.95,2000,unique_row_id,mean probability per row_id before resampling
xgb_all_unweighted,interpolation_stratified,pr_auc,0.9731982979792195,0.9698171648522289,0.9763695509152458,0.95,2000,unique_row_id,mean probability per row_id before resampling
xgb_all_unweighted,interpolation_stratified,brier,0.10081815082759496,0.09540288016227819,0.10644816432563786,0.95,2000,unique_row_id,mean probability per row_id before resampling
xgb_all_unweighted,lopo,roc_auc,0.6938796705391735,0.6210218930822711,0.7705693470422471,0.95,2000,canonical_paper,mean probability per row_id before resampling
xgb_all_unweighted,lopo,pr_auc,0.8509720280791147,0.7930513839739266,0.9286292884251435,0.95,2000,canonical_paper,mean probability per row_id before resampling
xgb_all_unweighted,lopo,brier,0.18712329435146421,0.13939892229654702,0.22836971619933863,0.95,2000,canonical_paper,mean probability per row_id before resampling
xgb_physics_class_paper_weighted_monotone_o2,extrapolation_grouped,roc_auc,0.7163835834864294,0.6385196283438166,0.7948455806910576,0.95,2000,canonical_paper,mean probability per row_id before resampling
xgb_physics_class_paper_weighted_monotone_o2,extrapolation_grouped,pr_auc,0.848464057148214,0.7820441053863131,0.9273883943694046,0.95,2000,canonical_paper,mean probability per row_id before resampling
xgb_physics_class_paper_weighted_monotone_o2,extrapolation_grouped,brier,0.1815445556509291,0.1468361416855944,0.20933035968573402,0.95,2000,canonical_paper,mean probability per row_id before resampling
xgb_physics_class_paper_weighted_monotone_o2,interpolation_holdout,roc_auc,0.8867552847161766,0.872042215619894,0.9004574901966828,0.95,2000,unique_row_id,mean probability per row_id before resampling
xgb_physics_class_paper_weighted_monotone_o2,interpolation_holdout,pr_auc,0.9620692471231759,0.9559060424098632,0.9680005015472652,0.95,2000,unique_row_id,mean probability per row_id before resampling
xgb_physics_class_paper_weighted_monotone_o2,interpolation_holdout,brier,0.1317793727343375,0.12228226615163447,0.14025737070631628,0.95,2000,unique_row_id,mean probability per row_id before resampling
xgb_physics_class_paper_weighted_monotone_o2,interpolation_stratified,roc_auc,0.8996624333065805,0.8906393182120622,0.9090574051800512,0.95,2000,unique_row_id,mean probability per row_id before resampling
xgb_physics_class_paper_weighted_monotone_o2,interpolation_stratified,pr_auc,0.9663226531743382,0.9617949383634541,0.9702299221635826,0.95,2000,unique_row_id,mean probability per row_id before resampling
xgb_physics_class_paper_weighted_monotone_o2,interpolation_stratified,brier,0.12006215357700745,0.1141182840722987,0.12594775362357963,0.95,2000,unique_row_id,mean probability per row_id before resampling
xgb_physics_class_paper_weighted_monotone_o2,lopo,roc_auc,0.7169027322637499,0.637456555672537,0.7901171127162192,0.95,2000,canonical_paper,mean probability per row_id before resampling
xgb_physics_class_paper_weighted_monotone_o2,lopo,pr_auc,0.8648524628263806,0.8014299327996501,0.9287190068394321,0.95,2000,canonical_paper,mean probability per row_id before resampling
