n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,gamma,reg_lambda,reg_alpha,group_roc_auc,std
400,5,0.01,4,0.8,1.0,0.1,1.0,0.5,0.6838262918075894,0.058393605449309285
400,4,0.05,6,1.0,1.0,1.0,5.0,0.1,0.6828498392702322,0.08340238438972791
400,3,0.01,20,1.0,0.5,0.0,0.5,0.0,0.6817217793656074,0.060460835229530004
400,4,0.02,1,0.9,0.8,0.0,1.0,0.1,0.6796062504660961,0.06607107585482318
200,5,0.01,2,1.0,0.6,1.0,2.0,0.1,0.6794182390142052,0.04952235820295047
200,3,0.03,10,0.8,0.6,2.0,0.5,0.5,0.6782511241093652,0.08119437843751695
800,2,0.03,1,0.8,1.0,0.0,1.0,2.0,0.6772513289169687,0.07023203974010195
400,2,0.1,6,0.9,0.5,0.1,5.0,2.0,0.6761773751859189,0.06512019766470316
200,2,0.02,2,1.0,1.0,0.1,10.0,0.5,0.6739683945239238,0.058128776323128156
800,2,0.03,10,0.8,0.6,0.0,1.0,0.1,0.672520816497003,0.07698300180753673
400,2,0.03,1,0.9,0.8,2.0,5.0,0.1,0.660768287526656,0.07498369340930353
200,3,0.05,1,0.9,0.5,0.0,2.0,1.0,0.6606016606594476,0.0728369591568167
400,3,0.01,4,1.0,0.5,2.0,2.0,0.0,0.652946337550809,0.07960058681969087
400,2,0.03,6,0.9,0.6,2.0,2.0,0.1,0.6513074262265782,0.08319570264547985
