method,seed,fold,n_test,n_test_papers,roc_auc,pr_auc,mcc,f1,balanced_accuracy,youden_j_balacc,thr_mcc,thr_f1,thr_balacc,thr_youden
dt,1,1,861,20,0.6433600512547881,0.7907663791308597,0.26840404393232487,0.842741935483871,0.6499100314889789,0.6499100314889789,0.8491192070930741,0.0,0.8491192070930741,0.8491192070930741
dt,1,2,858,18,0.6517200164344678,0.826550930358746,0.23075457719479978,0.8643282594308405,0.5976207373099764,0.5976207373099764,0.45587523189777046,0.0,0.45587523189777046,0.45587523189777046
dt,1,3,979,13,0.6638040014626757,0.8176031473919741,0.18427735905853557,0.840047393364929,0.5813665569659927,0.5813665569659927,0.12648038184046506,0.0,0.410022488123433,0.410022488123433
dt,1,4,874,18,0.6910354049183186,0.8567471396321471,0.19939948520798387,0.8664072632944229,0.6153639323295157,0.6153639323295157,0.33493407401005554,0.0,0.407920792079208,0.407920792079208
dt,2,0,882,17,0.5192669942669942,0.7511670374139319,0.09775772784150301,0.8560311284046692,0.5312244062244063,0.5312244062244063,0.5513480845579136,0.0,0.5513480845579136,0.5513480845579136
dt,2,1,852,21,0.64199969881894,0.8283928183048013,0.08345518443278002,0.8509777478084963,0.5474754573290976,0.5474754573290976,0.7798319661071925,0.0,0.7798319661071925,0.7798319661071925
dt,2,2,977,11,0.522947770967573,0.7418637583894154,0.042511026341836566,0.8396674584323041,0.47290848132432295,0.47290848132432295,0.25263697901832205,0.0,1.0,1.0
dt,2,3,860,15,0.6742132340669469,0.8155821301831783,0.30004086811930014,0.8586595885865959,0.6529703724666391,0.6529703724666391,0.2970341763814224,0.0,0.2970341763814224,0.2970341763814224
dt,2,4,872,21,0.5663893646521491,0.7924106395362867,0.10954806659589791,0.8697342838626053,0.5573918781650614,0.5573918781650614,0.4547914718393791,0.0,0.4547914718393791,0.4547914718393791
mlp,0,0,863,17,0.5495928832143754,0.7770081744472852,0.10052343551489294,0.8486562942008486,0.5538561569948722,0.5538561569948722,0.9983411327750827,0.0011125030445347504,0.9983411327750827,0.9983411327750827
mlp,0,1,861,20,0.5280401859349227,0.7143913995220028,-0.09343153653830309,0.842741935483871,0.45094671410460885,0.45094671410460885,0.9999387641293987,8.773927300635855e-09,0.9999387641293987,0.9999387641293987
mlp,0,2,1006,13,0.6538165182963175,0.8275712270413478,0.14690599047727915,0.7940026075619296,0.5967686440226214,0.5967686440226214,0.008121279342857281,0.00773719251950989,0.10540571464553954,0.10540571464553954
